,0
обвиняемия,123
октомври,123
отношение,123
сила,123
юли,123
искат,122
автомобила,122
някои,122
хиляди,122
май,122
септември,121
новото,121
окръжен,121
дойде,121
достатъчно,121
съобщават,121
инцидент,121
родители,120
виновен,120
младата,120
четири,120
извършителя,120
смята,119
осъждан,119
врата,119
полицай,119
пише,119
обществото,119
имам,119
приложение,119
кола,118
подобни,118
реда,118
гледате,118
борба,118
колко,117
институциите,117
обвиняем,117
пребита,116
обвинението,116
наркотици,116
настанена,116
превенция,116
извършител,116
места,116
наказателния,115
излезе,115
тяло,115
тежкото,115
правата,115
заплахи,115
добави,115
почти,114
извършителите,114
живеят,114
същия,113
предвижда,113
остане,113
починалата,113
дава,113
адвокатът,113
областната,113
трима,112
среща,112
първата,112
събота,112
намира,112
предаде,112
август,112
възможно,111
същото,111
физическо,111
повдигнато,111
юни,110
ревност,109
пет,109
пребил,109
нови,108
какви,108
търсят,108
шумен,108
окръжният,108
твърдят,107
сдвр,107
нужда,107
нейната,107
нощ,107
намерена,106
намерено,106
продължи,106
разговор,106
експертизи,106
домашен,105
очите,105
продължават,105
стая,104
годината,104
институции,104
намерете,104
николай,104
доста,104
самопризнания,104
организации,103
нов,103
сливен,103
скоро,103
жалба,103
агресията,103
думи,102
утре,102
жестоко,102
операция,102
димитрова,102
ios,102
съседите,102
добро,102
android,102
мъртва,102
психически,101
задържаха,101
петров,101
извършени,101
научавате,101
изтеглете,101
apple,101
декември,101
показва,101
момичетата,100
средна,100
грабеж,100
оказва,100
младеж,100
дума,100
средства,100
мярката,100
петър,100
установи,100
поне,99
апелативен,99
внимание,99
поради,99
блок,99
трябвало,99
имал,99
убил,99
заседание,99
видях,99
нямат,99
районната,98
трагедията,98
психолог,98
нещата,98
права,98
ефира,98
двора,98
борислав,97
апартамент,97
настояват,97
кметът,97
ръка,97
улицата,97
репортер,97
данните,97
живеела,96
неделя,96
законът,96
брат,96
съпруг,96
ловеч,96
закон,96
подчерта,95
здравей,95
първите,95
каква,95
гледа,95
граждани,95
христо,95
името,95
насилника,94
незабавно,94
земята,94
тежки,94
шок,94
детска,94
другите,94
петък,93
сметка,93
продължение,93
възможност,93
подала,93
действията,93
своята,93
своите,93
имали,93
разбира,93
вратата,92
причиняване,92
жесток,92
бта,92
бабата,92
историята,92
жестокост,92
извършил,92
помогне,92
ръце,92
голям,92
тежката,91
чужбина,91
правят,91
екипи,91
дъщерята,91
задържана,91
вследствие,90
получава,90
категорична,90
реши,90
сигнала,90
пистолет,90
важно,90
диана,89
наказателна,89
актуални,89
роднини,89
изнасилване,89
софийската,89
арестуван,89
привлечен,89
проблема,89
районен,89
показват,89
призна,89
преби,88
михайлов,88
април,88
против,88
началник,88
комисар,88
тежка,88
бившата,88
понеделник,88
министерството,88
побоя,88
неговата,88
вземе,87
укрие,87
причините,87
васил,87
можем,87
дебора,87
ръководството,87
георгиева,87
многократно,87
ръцете,87
рамките,87
отношения,86
агенция,86
потърпевшата,86
седмици,86
бившия,86
наистина,86
проявен,85
жестокото,85
включително,85
герб,85
физически,85
общината,85
приета,85
социално,85
сградата,84
история,84
хода,84
присъди,84
бременна,84
първоначално,84
постоянен,84
върне,84
нямаше,84
наказанието,84
последната,83
обяви,83
досега,83
етап,83
зам,83
повод,83
единият,83
каже,83
остават,83
евро,83
медицински,83
първия,83
свидетел,83
втори,82
задържаният,82
разпитани,82
всъщност,82
последно,82
справедливост,82
повечето,82
заболяване,81
поведение,81
мисля,81
получила,81
засега,81
живеел,81
категорично,81
система,81
стига,81
идва,81
свързани,81
другата,81
улица,81
обяснява,81
нападателят,80
осъден,80
иванова,80
промените,80
успяла,80
мъчителен,80
постановление,80
германия,80
борисов,80
анимус,79
извън,79
пострадалото,79
ани,79
сам,79
показания,79
първият,79
следващия,79
пресцентъра,79
трафик,78
правосъдието,78
бившият,78
даная,78
казал,78
дела,78
версия,78
едната,78
уточни,78
подробности,77
зала,77
заявиха,77
гергана,77
контрол,77
травма,77
влезе,77
градски,77
някаква,77
иванов,77
мартин,77
отиде,77
удар,76
стоянов,76
валентин,76
лично,76
шест,76
крака,76
целта,76
положение,76
монтана,76
оказа,76
екипът,76
нямам,76
първото,76
вината,76
конвенция,76
съжаление,76
органи,76
клас,75
бивш,75
период,75
социални,75
добрич,75
лекари,75
близост,75
подпомагане,75
ситуация,75
област,75
центрове,75
министерство,75
получен,75
столицата,75
районно,75
половина,75
служител,75
казах,74
кръв,74
следва,74
предаването,74
петрова,74
групата,74
медиите,74
представители,74
открит,73
прояви,73
нанасяне,73
заповеди,73
ударил,73
нейните,73
аутопсия,72
самата,72
ритъма,72
замяна,72
софийска,72
изпускайте,72
убити,72
николова,72
първа,72
аутопсията,72
дълго,72
семеен,72
системно,72
стефан,72
започнала,71
разказват,71
живеели,71
заместник,71
криминални,71
останалите,71
кражби,71
ямбол,71
защитата,71
разследва,71
абсолютно,71
емил,71
наложи,71
нейното,71
трябваше,71
някакъв,71
отказа,71
висока,71
голямата,70
сами,70
риск,70
отговори,70
режим,70
свят,70
камерата,70
сочат,70
установили,70
брак,70
убие,70
липсата,70
районното,70
междувременно,70
внесе,70
видин,70
сряда,69
горна,69
особена,69
издирва,69
снимка,69
любов,69
безплатно,69
травми,69
вземат,69
жалби,69
удря,69
възрастни,69
сума,69
пламен,69
appgallery,69
палата,69
мбал,69
вместо,69
намери,69
извършеното,69
huawei,69
рана,68
съвсем,68
обясниха,68
стигне,68
градина,68
добри,68
научи,68
въпроси,68
нейни,68
обжалване,68
дейност,68
служителите,68
макар,68
дават,68
линейка,67
отговор,67
избяга,67
услуги,67
василев,67
знаят,67
корема,67
комисия,67
чувства,67
държава,67
ново,67
агенцията,67
линия,67
елена,67
започнали,67
писмо,67
говорят,66
събраха,66
сексуално,66
никакви,66
заподозрян,66
важните,66
българския,66
промяна,66
подлежи,66
габриела,66
поща,66
носи,66
нападната,66
опита,65
предполага,65
катя,65
вие,65
повреди,65
установени,65
пореден,65
тодоров,65
версии,65
сектор,65
губи,65
измама,65
министърът,65
издирването,65
допълва,65
силно,65
телесни,65
опитал,65
кмет,65
отива,65
всяко,65
спешния,65
съдебна,65
големи,64
момчета,64
започват,64
плевен,64
психолози,64
ученичка,64
задържането,64
проблемът,64
неизвестност,64
получат,64
говорителят,64
човека,64
увреждания,64
стоянова,64
александър,64
вземане,64
ваня,63
никакъв,63
отказва,63
месеци,63
столичната,63
лични,63
нормално,63
вероника,63
взел,63
употреба,63
партньор,63
борбата,63
обстоятелства,63
добър,63
причини,63
състав,62
лечението,62
калоян,62
впоследствие,62
категоричен,62
асоциация,62
парламента,62
киселина,62
полицейско,62
свои,62
вина,62
истанбулската,62
вторник,62
одмвр,62
мотивите,62
коментар,62
конфликт,62
шофьорът,62
оттам,62
момиченце,62
статистиката,62
кюстендил,62
десислава,61
интернет,61
даниела,61
смятат,61
марина,61
социалната,61
линейката,61
постоянна,61
решава,61
спре,61
юмруци,61
covid,61
признава,61
подобно,61
станала,61
откриха,61
второ,61
резултатите,60
нападение,60
съобщава,60
напълно,60
окончателно,60
наблюдаващият,60
николов,60
извършва,60
съдия,60
психично,60
магистратите,60
европа,60
ред,60
фонд,60
вътре,60
шествие,60
директора,60
статистика,60
етаж,60
десетки,60
явно,60
следобед,60
искането,60
вода,60
малката,60
направят,60
започнал,60
следствие,60
предвид,60
отговаря,60
спомня,60
автор,60
