,0
място,4
рила,4
или,4
александър,4
прие,4
имало,4
кмет,4
търговищко,4
братя,4
грешка,4
изписаха,4
върху,4
куртово,4
столично,4
паоло,4
пуснаха,4
правна,4
сливенската,4
строги,4
статистика,4
съдебната,4
призна,4
извършителя,4
доживотна,4
семеен,4
пандемията,4
разказът,4
очите,4
брат,4
взрив,4
каква,4
смъртоносно,4
правителството,4
бдение,4
ясна,4
изчезна,4
ранени,4
извънредното,4
положение,4
зад,4
около,4
вкъщи,4
отвлечено,4
излязоха,4
белица,4
момиченцето,4
история,4
белозем,4
фиш,4
тото,4
причина,4
скала,4
даде,4
пилот,4
кристиан,4
николов,4
близнаци,4
избяга,4
шест,4
хасково,4
сириец,4
проблема,4
трагедията,4
кампания,4
отделение,4
петров,4
щерк,4
изплува,4
изгубили,4
когато,4
ученик,4
разкриха,4
себе,4
държавата,4
прегази,4
нападението,4
плевен,4
болна,4
грижи,4
пак,4
сопот,4
шарков,4
наказателния,4
кодекс,4
къща,4
посягал,4
очаква,4
институциите,4
следи,4
открит,4
залял,4
потвърдиха,4
условно,4
починалото,4
гърция,4
убито,4
клас,4
извадиха,4
тежка,4
ексклузивно,4
няколко,4
юмруци,4
земя,4
става,4
нея,4
мост,4
подробности,4
германия,4
измамници,4
хоро,4
бобов,4
стабилно,4
мен,4
заповед,4
иван,4
ограбвал,4
поискаха,4
нпо,4
борбата,4
дари,4
системно,4
дол,4
коли,4
дело,4
марта,4
салон,4
честита,4
задържа,4
намери,4
бяха,4
репортаж,4
масов,4
столицата,4
намушкал,4
свят,4
извършителят,4
кърджали,4
скок,4
актрисата,4
фризьорски,4
бъбрек,4
началото,4
версиите,4
помагат,4
особено,4
момичетата,4
проверка,4
малолетно,4
бита,4
закон,4
обвиняемият,4
втори,4
превенция,3
едногодишната,3
търговище,3
пеевски,3
семейство,3
обвиненията,3
отложиха,3
половина,3
нищо,3
пребито,3
поиска,3
варненската,3
палата,3
удуши,3
никога,3
съди,3
коронавируса,3
присъди,3
възраст,3
помете,3
черепно,3
столичен,3
човек,3
печата,3
орлин,3
младежът,3
метро,3
столичното,3
втора,3
захариева,3
огромна,3
живял,3
разказва,3
спи,3
