CODE,NAME
04368,с. Блатница
04371,с. Блато
04399,с. Блатска
04409,с. Бленика
04412,с. Близнак
04426,с. Близнаци
04430,с. Близнаци
04443,с. Близнец
04457,с. Блъсково
04460,с. Блъсковци
04474,с. Боазът
04488,с. Бобевци
04491,с. Бобешино
04501,гр. Бобов дол
04515,с. Бобовец
04529,с. Бобораци
04532,гр. Бобошево
04546,с. Бов
04555,с. Богатово
04563,с. Богдан
04580,с. Богдан
04594,с. Богданица
04604,с. Богданлия
04618,с. Богданов дол
04621,с. Богданово
04635,с. Богданово
04649,с. Богдановци
04652,с. Богданско
04666,с. Богданци
04670,с. Богданци
04683,с. Богданчовци
04697,с. Богойна
04707,с. Боголин
04724,с. Богомил
04738,с. Богомилово
04741,с. Богомилци
04755,с. Богомолско
04772,с. Богорово
04786,с. Богорово
04796,с. Богослов
04801,с. Богутево
04813,с. Богьовци
04827,с. Боденец
04830,с. Стамболово
04844,с. Бодрово
04861,с. Боево
04892,с. Боерица
04902,с. Божак
04916,с. Божан
04927,с. Божаново
04933,с. Бождово
04947,с. Божевци
04950,с. Боженица
04964,с. Боженците
04981,с. Божичен
05009,с. Божурец
05013,с. Божурица
05027,гр. Божурище
05030,с. Божурка
05044,с. Божурлук
05058,с. Божурово
05061,с. Божурово
05075,с. Божурово
05089,с. Божурци
05092,с. Бозаджии
05102,с. Бозвелийско
05124,с. Боил
05133,с. Лом Черковна
05147,с. Бойковец
05150,с. Бойково
05164,с. Бойковци
05181,с. Бойник
05195,с. Бойница
05205,с. Бойно
05219,с. Бойновци
05222,с. Бойчеви колиби
05236,гр. Бойчиновци
05240,с. Бойчовци
05253,с. Бокиловци
05267,с. Болтата
05270,с. Болярино
05284,гр. Болярово
05298,с. Болярски извор
05308,с. Болярско
05311,с. Болярци
05325,с. Болярци
05339,с. Болярци
05342,с. Бонево
05356,с. Борец
05365,с. Борие
05387,с. Борика
05390,с. Борика
05400,с. Борики
05414,с. Бориково
05428,с. Бориловец
05431,с. Борилово
05445,с. Борима
05459,с. Боримечково
05462,с. Борино
05476,с. Бориново
05480,с. Боринци
05493,с. Борислав
05503,с. Бориславци
05517,с. Борисово
05520,с. Борисово
05534,с. Борнарево
05548,с. Борован
05551,с. Боров дол
05565,с. Боровец
05579,с. Боровина
05582,с. Боровица
05596,с. Боровичене
05606,с. Борово
05611,гр. Борово
05623,с. Борово
05637,с. Борово
05640,с. Боровско
05654,с. Боровци
05668,с. Борското
05671,с. Борущица
05685,с. Борци
05699,с. Боряна
05709,с. Босевци
05712,с. Босилица
05726,с. Босилково
05737,с. Босилково
05743,с. Босилковци
05757,с. Босна
05760,с. Боснек
05791,с. Бостанци
05801,с. Бостина
05815,гр. Ботевград
05829,с. Ботево
05832,с. Ботево
05846,с. Ботево
05852,с. Ботево
05863,с. Ботево
05877,с. Ботров
05894,с. Ботуня
05904,с. Ботурче
05918,с. Бохова
05921,с. Бохот
05935,с. Бочковци
05949,с. Бошуля
05952,с. Бояджик
05966,с. Боян
05978,с. Бояна
05983,с. Боян Ботево
05997,с. Бояново
06001,с. Бояново
06015,с. Бояновци
06029,с. Боянци
06032,с. Брадвари
06046,с. Бракница
06050,с. Бракьовци
06077,с. Браниполе
06080,с. Браница
06094,с. Браничево
06104,с. Бранище
06118,с. Бранковци
06121,с. Бранковци
06135,с. Братан
06149,с. Братаница
06152,с. Братово
06166,с. Братово
06175,с. Братушково
06183,с. Братя Даскалови
06197,с. Братя Кунчеви
06207,гр. Брацигово
06210,с. Брегаре
06224,гр. Брегово
06238,с. Брежани
06241,с. Брежниците
06255,с. Бреза
06269,с. Брезе
06272,с. Брезе
06286,гр. Брезник
06306,с. Брезница
06313,с. Брезнишки извор
06327,с. Брезовдол
06344,с. Брезово
