postal_code,location,manuplicity,admin_center
5743,ГОЛЯМО УСОЕ,ТЕТЕВЕН,ЛОВЕЧ
7924,ГОЛЯМО ЦЪРКВИЩЕ,ОМУРТАГ,ТЪРГОВИЩЕ
8863,ГОЛЯМО ЧОЧОВЕНИ,СЛИВЕН,СЛИВЕН
2231,ГОЛЯНОВЦИ,КОСТИНБРОД,СОФИЯ
3772,ГОМОТАРЦИ,ВИДИН,ВИДИН
5552,ГОРАН,ЛОВЕЧ,ЛОВЕЧ
5035,ГОРАНОВЦИ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
2565,ГОРАНОВЦИ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
2834,ГОРЕМЕ,СТРУМЯНИ,БЛАГОЕВГРАД
5050,ГОРЕН ЕНЕВЕЦ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
9100,ГОРЕН ЧИФЛИК,ДОЛНИ ЧИФЛИК,ВАРНА
9101,ГОРИЦА,БЯЛА,ВАРНА
9558,ГОРИЦА,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
8225,ГОРИЦА,ПОМОРИЕ,БУРГАС
7854,ГОРИЦА,ПОПОВО,ТЪРГОВИЩЕ
9688,ГОРИЧАНЕ,ШАБЛА,ДОБРИЧ
7337,ГОРИЧЕВО,КУБРАТ,РАЗГРАД
4788,ГОРНА АРДА,СМОЛЯН,СМОЛЯН
3544,ГОРНА БЕЛА РЕЧКА,ВЪРШЕЦ,МОНТАНА
3155,ГОРНА БЕШОВИЦА,МЕЗДРА,ВРАЦА
4657,ГОРНА БИРКОВА,ВЕЛИНГРАД,ПАЗАРДЖИК
2842,ГОРНА БРЕЗНИЦА,КРЕСНА,БЛАГОЕВГРАД
2575,ГОРНА БРЕСТНИЦА,КЮСТЕНДИЛ,КЮСТЕНДИЛ
2046,ГОРНА ВАСИЛИЦА,КОСТЕНЕЦ,СОФИЯ
3484,ГОРНА ВЕРЕНИЦА,МОНТАНА,МОНТАНА
2439,ГОРНА ВРАБЧА,ЗЕМЕН,ПЕРНИК
2459,ГОРНА ГЛОГОВИЦА,ЗЕМЕН,ПЕРНИК
2535,ГОРНА ГРАЩИЦА,КЮСТЕНДИЛ,КЮСТЕНДИЛ
2419,ГОРНА ДИКАНЯ,РАДОМИР,ПЕРНИК
4648,ГОРНА ДЪБЕВА,ВЕЛИНГРАД,ПАЗАРДЖИК
7969,ГОРНА ЗЛАТИЦА,АНТОНОВО,ТЪРГОВИЩЕ
7865,ГОРНА КАБДА,ТЪРГОВИЩЕ,ТЪРГОВИЩЕ
3463,ГОРНА КОВАЧИЦА,ЧИПРОВЦИ,МОНТАНА
2687,ГОРНА КОЗНИЦА,БОБОВ ДОЛ,КЮСТЕНДИЛ
3154,ГОРНА КРЕМЕНА,МЕЗДРА,ВРАЦА
6685,ГОРНА КРЕПОСТ,КЪРДЖАЛИ,КЪРДЖАЛИ
2827,ГОРНА КРУШИЦА,СТРУМЯНИ,БЛАГОЕВГРАД
6952,ГОРНА КУЛА,КРУМОВГРАД,КЪРДЖАЛИ
5227,ГОРНА ЛИПНИЦА,ПАВЛИКЕНИ,ВЕЛИКО ТЪРНОВО
3458,ГОРНА ЛУКА,ЧИПРОВЦИ,МОНТАНА
2131,ГОРНА МАЛИНА,ГОРНА МАЛИНА,СОФИЯ
4196,ГОРНА МАХАЛА,КАЛОЯНОВО,ПЛОВДИВ
2491,ГОРНА МЕЛНА,ТРЪН,ПЕРНИК
5869,ГОРНА МИТРОПОЛИЯ,ДОЛНА МИТРОПОЛИЯ,ПЛЕВЕН
5100,ГОРНА ОРЯХОВИЦА,ГОРНА ОРЯХОВИЦА,ВЕЛИКО ТЪРНОВО
2836,ГОРНА РИБНИЦА,СТРУМЯНИ,БЛАГОЕВГРАД
5448,ГОРНА РОСИЦА,СЕВЛИЕВО,ГАБРОВО
2399,ГОРНА СЕКИРНА,БРЕЗНИК,ПЕРНИК
5294,ГОРНА СТУДЕНА,СВИЩОВ,ВЕЛИКО ТЪРНОВО
2811,ГОРНА СУШИЦА,САНДАНСКИ,БЛАГОЕВГРАД
5089,ГОРНА ХАДЖИЙСКА,ЗЛАТАРИЦА,ВЕЛИКО ТЪРНОВО
7913,ГОРНА ХУБАВКА,ОМУРТАГ,ТЪРГОВИЩЕ
1806,ГОРНИ БОГРОВ,район КРЕМИКОВЦИ,СОФИЯ
3343,ГОРНИ ВАДИН,ОРЯХОВО,ВРАЦА
5380,ГОРНИ ВЪРПИЩА,ДРЯНОВО,ГАБРОВО
6485,ГОРНИ ГЛАВАНАК,МАДЖАРОВО,ХАСКОВО
5367,ГОРНИ ДАМЯНОВЦИ,ТРЯВНА,ГАБРОВО
4368,ГОРНИ ДОМЛЯН,КАРЛОВО,ПЛОВДИВ
5380,ГОРНИ ДРАГОЙЧА,ДРЯНОВО,ГАБРОВО
5880,ГОРНИ ДЪБНИК,ДОЛНИ ДЪБНИК,ПЛЕВЕН
2557,ГОРНИ КОРИТЕН,ТРЕКЛЯНО,КЮСТЕНДИЛ
5096,ГОРНИ КРАЙ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
3960,ГОРНИ ЛОМ,ЧУПРЕНЕ,ВИДИН
5360,ГОРНИ МАРЕНЦИ,ТРЯВНА,ГАБРОВО
2027,ГОРНИ ОКОЛ,САМОКОВ,СОФИЯ
5360,ГОРНИ РАДКОВЦИ,ТРЯВНА,ГАБРОВО
2371,ГОРНИ РОМАНЦИ,БРЕЗНИК,ПЕРНИК
5098,ГОРНИ ТАНЧЕВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
3632,ГОРНИ ЦИБЪР,ВЪЛЧЕДРЪМ,МОНТАНА
5360,ГОРНИ ЦОНЕВЦИ,ТРЯВНА,ГАБРОВО
6954,ГОРНИ ЮРУЦИ,КРУМОВГРАД,КЪРДЖАЛИ
5991,ГОРНИК,ЧЕРВЕН БРЯГ,ПЛЕВЕН
7173,ГОРНО АБЛАНОВО,БОРОВО,РУСЕ
8883,ГОРНО АЛЕКСАНДРОВО,СЛИВЕН,СЛИВЕН
6219,ГОРНО БЕЛЕВО,БРАТЯ ДАСКАЛОВИ,СТАРА ЗАГОРА
6053,ГОРНО БОТЕВО,СТАРА ЗАГОРА,СТАРА ЗАГОРА
6388,ГОРНО ВОЙВОДИНО,ХАСКОВО,ХАСКОВО
4497,ГОРНО ВЪРШИЛО,СЕПТЕМВРИ,ПАЗАРДЖИК
2797,ГОРНО ДРАГЛИЩЕ,РАЗЛОГ,БЛАГОЕВГРАД
2963,ГОРНО ДРЯНОВО,ГЪРМЕН,БЛАГОЕВГРАД
6181,ГОРНО ИЗВОРОВО,КАЗАНЛЪК,СТАРА ЗАГОРА
2138,ГОРНО КАМАРЦИ,ГОРНА МАЛИНА,СОФИЯ
6884,ГОРНО КИРКОВО,КИРКОВО,КЪРДЖАЛИ
2556,ГОРНО КОБИЛЕ,ТРЕКЛЯНО,КЮСТЕНДИЛ
7927,ГОРНО КОЗАРЕВО,ОМУРТАГ,ТЪРГОВИЩЕ
2783,ГОРНО КРАИЩЕ,БЕЛИЦА,БЛАГОЕВГРАД
6871,ГОРНО КЪПИНОВО,КИРКОВО,КЪРДЖАЛИ
6585,ГОРНО ЛУКОВО,ИВАЙЛОВГРАД,ХАСКОВО
7939,ГОРНО НОВКОВО,ОМУРТАГ,ТЪРГОВИЩЕ
6225,ГОРНО НОВО СЕЛО,БРАТЯ ДАСКАЛОВИ,СТАРА ЗАГОРА
3547,ГОРНО ОЗИРОВО,ВЪРШЕЦ,МОНТАНА
2756,ГОРНО ОСЕНОВО,СИМИТЛИ,БЛАГОЕВГРАД
5549,ГОРНО ПАВЛИКЕНЕ,ЛОВЕЧ,ЛОВЕЧ
3052,ГОРНО ПЕЩЕНЕ,ВРАЦА,ВРАЦА
6486,ГОРНО ПОЛЕ,МАДЖАРОВО,ХАСКОВО
6780,ГОРНО ПРАХОВО,АРДИНО,КЪРДЖАЛИ
2213,ГОРНО СЕЛО,ДРАГОМАН,СОФИЯ
2824,ГОРНО СПАНЧЕВО,САНДАНСКИ,БЛАГОЕВГРАД
6151,ГОРНО СЪХРАНЕ,ПАВЕЛ БАНЯ,СТАРА ЗАГОРА
5614,ГОРНО ТРАПЕ,ТРОЯН,ЛОВЕЧ
2561,ГОРНО УЙНО,КЮСТЕНДИЛ,КЮСТЕНДИЛ
2727,ГОРНО ХЪРСОВО,БЛАГОЕВГРАД,БЛАГОЕВГРАД
3487,ГОРНО ЦЕРОВЕНЕ,МОНТАНА,МОНТАНА
6165,ГОРНО ЧЕРКОВИЩЕ,КАЗАНЛЪК,СТАРА ЗАГОРА
8343,ГОРНО ЯБЪЛКОВО,СРЕДЕЦ,БУРГАС
5304,ГОРНОВА МОГИЛА,ГАБРОВО,ГАБРОВО
6574,ГОРНОСЕЛЦИ,ИВАЙЛОВГРАД,ХАСКОВО
4253,ГОРНОСЛАВ,АСЕНОВГРАД,ПЛОВДИВ
5748,ГОРНОТО СЕЛО,ТЕТЕВЕН,ЛОВЕЧ
4776,ГОРОВО,СМОЛЯН,СМОЛЯН
8469,ГОРОВО,СУНГУРЛАРЕ,БУРГАС
7288,ГОРОЦВЕТ,ЛОЗНИЦА,РАЗГРАД
2496,ГОРОЧЕВЦИ,ТРЪН,ПЕРНИК
5083,ГОРСКА,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
8721,ГОРСКА ПОЛЯНА,БОЛЯРОВО,ЯМБОЛ
5132,ГОРСКИ ГОРЕН ТРЪМБЕШ,ГОРНА ОРЯХОВИЦА,ВЕЛИКО ТЪРНОВО
5131,ГОРСКИ ДОЛЕН ТРЪМБЕШ,ГОРНА ОРЯХОВИЦА,ВЕЛИКО ТЪРНОВО
6420,ГОРСКИ ИЗВОР,ДИМИТРОВГРАД,ХАСКОВО
6865,ГОРСКИ ИЗВОР,КИРКОВО,КЪРДЖАЛИ
5167,ГОРСКИ СЕНОВЕЦ,СТРАЖИЦА,ВЕЛИКО ТЪРНОВО
6590,ГОРСКО,ИВАЙЛОВГРАД,ХАСКОВО
7847,ГОРСКО АБЛАНОВО,ОПАКА,ТЪРГОВИЩЕ
6800,ГОРСКО ДЮЛЕВО,МОМЧИЛГРАД,КЪРДЖАЛИ
5238,ГОРСКО КАЛУГЕРОВО,СУХИНДОЛ,ВЕЛИКО ТЪРНОВО
5235,ГОРСКО КОСОВО,СУХИНДОЛ,ВЕЛИКО ТЪРНОВО
5075,ГОРСКО НОВО СЕЛО,ЗЛАТАРИЦА,ВЕЛИКО ТЪРНОВО
5088,ГОРСКО ПИСАРЕВО,ЗЛАТАРИЦА,ВЕЛИКО ТЪРНОВО
7947,ГОРСКО СЕЛО,ОМУРТАГ,ТЪРГОВИЩЕ
5557,ГОРСКО СЛИВОВО,ЛЕТНИЦА,ЛОВЕЧ
5888,ГОРТАЛОВО,ПЛЕВЕН,ПЛЕВЕН
9689,ГОРУН,ШАБЛА,ДОБРИЧ
2191,ГОРУНАКА,ЕТРОПОЛЕ,СОФИЯ
5722,ГОРУНЬОВО,ТЕТЕВЕН,ЛОВЕЧ
2882,ГОРЧЕВО,ПЕТРИЧ,БЛАГОЕВГРАД
5367,ГОРЯНИ,ТРЯВНА,ГАБРОВО
9107,ГОСПОДИНОВО,БЯЛА,ВАРНА
7561,ГОСПОДИНОВО,КАЙНАРДЖА,СИЛИСТРА
2914,ГОСПОДИНЦИ,ГОЦЕ ДЕЛЧЕВ,БЛАГОЕВГРАД
5390,ГОСТИЛИЦА,ДРЯНОВО,ГАБРОВО
5864,ГОСТИЛЯ,ДОЛНА МИТРОПОЛИЯ,ПЛЕВЕН
5543,ГОСТИНЯ,ЛОВЕЧ,ЛОВЕЧ
2773,ГОСТУН,БАНСКО,БЛАГОЕВГРАД
2900,ГОЦЕ ДЕЛЧЕВ,ГОЦЕ ДЕЛЧЕВ,БЛАГОЕВГРАД
2755,ГРАДЕВО,СИМИТЛИ,БЛАГОЕВГРАД
5732,ГРАДЕЖНИЦА,ТЕТЕВЕН,ЛОВЕЧ
3780,ГРАДЕЦ,ВИДИН,ВИДИН
2239,ГРАДЕЦ,КОСТИНБРОД,СОФИЯ
8990,ГРАДЕЦ,КОТЕЛ,СЛИВЕН
3074,ГРАДЕШНИЦА,КРИВОДОЛ,ВРАЦА
5879,ГРАДИНА,ДОЛНИ ДОБНИК,ПЛЕВЕН
7239,ГРАДИНА,ЛОЗНИЦА,РАЗГРАД
4290,ГРАДИНА,ПЪРВОМАЙ,ПЛОВДИВ
9243,ГРАДИНАРОВО,ПРОВАДИЯ,ВАРНА
9552,ГРАДИНИ,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
7964,ГРАДИНКА,АНТОНОВО,ТЪРГОВИЩЕ
5910,ГРАДИЩЕ,ЛЕВСКИ,ПЛЕВЕН
5435,ГРАДИЩЕ,СЕВЛИЕВО,ГАБРОВО
9803,ГРАДИЩЕ,ШУМЕН,ШУМЕН
5439,ГРАДНИЦА,СЕВЛИЕВО,ГАБРОВО
9498,ГРАДНИЦА,ТЕРВЕЛ,ДОБРИЧ
8852,ГРАДСКО,СЛИВЕН,СЛИВЕН
3835,ГРАДСКОВСКИ КОЛИБИ,БОЙНИЦА,ВИДИН
4749,ГРАДЪТ,СМОЛЯН,СМОЛЯН
3830,ГРАМАДА,ГРАМАДА,ВИДИН
2679,ГРАМАДЕ,ДУПНИЦА,КЮСТЕНДИЛ
4968,ГРАМАДЕ,РУДОЗЕМ,СМОЛЯН
2574,ГРАМАДЖАНО,КЮСТЕНДИЛ,КЮСТЕНДИЛ
8166,ГРАМАТИКОВО,МАЛКО ТЪРНОВО,БУРГАС
5099,ГРАМАТИЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
6252,ГРАНИТ,БРАТЯ ДАСКАЛОВИ,СТАРА ЗАГОРА
8333,ГРАНИТЕЦ,СРЕДЕЦ,БУРГАС
3914,ГРАНИТОВО,БЕЛОГРАДЧИК,ВИДИН
8740,ГРАНИТОВО,ЕЛХОВО,ЯМБОЛ
2589,ГРАНИЦА,КЮСТЕНДИЛ,КЮСТЕНДИЛ
3934,ГРАНИЧАК,БЕЛОГРАДЧИК,ВИДИН
8347,ГРАНИЧАР,СРЕДЕЦ,БУРГАС
9669,ГРАНИЧАР,ШАБЛА,ДОБРИЧ
4198,ГРАФ ИГНАТИЕВО,МАРИЦА,ПЛОВДИВ
8938,ГРАФИТОВО,НОВА ЗАГОРА,СЛИВЕН
4618,ГРАШЕВО,ВЕЛИНГРАД,ПАЗАРДЖИК
4714,ГРАЩИЦА,СМОЛЯН,СМОЛЯН
7960,ГРЕЕВЦИ,АНТОНОВО,ТЪРГОВИЩЕ
5841,ГРИВИЦА,ПЛЕВЕН,ПЛЕВЕН
6965,ГРИВКА,КРУМОВГРАД,КЪРДЖАЛИ
6890,ГРИВЯК,КИРКОВО,КЪРДЖАЛИ
2108,ГРИГОРЕВО,ЕЛИН ПЕЛИН,СОФИЯ
8464,ГРОЗДЕН,СУНГУРЛАРЕ,БУРГАС
9106,ГРОЗДЬОВО,ДОЛНИ ЧИФЛИК,ВАРНА
3444,ГРОМШИН,БОЙЧИНОВЦИ,МОНТАНА
4815,ГРОХОТНО,ДЕВИН,СМОЛЯН
6809,ГРУЕВО,МОМЧИЛГРАД,КЪРДЖАЛИ
5300,ГРЪБЛЕВЦИ,ГАБРОВО,ГАБРОВО
2213,ГРЪЛСКА ПАДИНА,ДРАГОМАН,СОФИЯ
7669,ГРЪНЧАРОВО,ДУЛОВО,СИЛИСТРА
2255,ГУБЕШ,ГОДЕЧ,СОФИЯ
2274,ГУБИСЛАВ,СВОГЕ,СОФИЯ
6590,ГУГУТКА,ИВАЙЛОВГРАД,ХАСКОВО
4792,ГУДЕВИЦА,СМОЛЯН,СМОЛЯН
6943,ГУЛИЙКА,КРУМОВГРАД,КЪРДЖАЛИ
6926,ГУЛИЯ,КРУМОВГРАД,КЪРДЖАЛИ
5960,ГУЛЯНЦИ,ГУЛЯНЦИ,ПЛЕВЕН
5654,ГУМОЩНИК,ТРОЯН,ЛОВЕЧ
2567,ГУРБАНОВЦИ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
6830,ГУРГУЛИЦА,МОМЧИЛГРАД,КЪРДЖАЛИ
2223,ГУРГУЛЯТ,СЛИВНИЦА,СОФИЯ
9644,ГУРКОВО,БАЛЧИК,ДОБРИЧ
2145,ГУРКОВО,БОТЕВГРАД,СОФИЯ
6199,ГУРКОВО,ГУРКОВО,СТАРА ЗАГОРА
2226,ГУРМАЗОВО,БОЖУРИЩЕ,СОФИЯ
9969,ГУСЛА,КАОЛИНОВО,ШУМЕН
9479,ГУСЛАР,ТЕРВЕЛ,ДОБРИЧ
2045,ГУЦАЛ,САМОКОВ,СОФИЯ
5333,ГЪБЕНЕ,ГАБРОВО,ГАБРОВО
8220,ГЪЛЪБЕЦ,ПОМОРИЕ,БУРГАС
6366,ГЪЛЪБЕЦ,ХАСКОВО,ХАСКОВО
8642,ГЪЛЪБИНЦИ,ТУНДЖА,ЯМБОЛ
2426,ГЪЛЪБНИК,РАДОМИР,ПЕРНИК
4938,ГЪЛЪБОВО,БАНИТЕ,СМОЛЯН
2784,ГЪЛЪБОВО,БЕЛИЦА,БЛАГОЕВГРАД
4125,ГЪЛЪБОВО,КУКЛЕН,ПЛОВДИВ
6280,ГЪЛЪБОВО,ГЪЛЪБОВО,СТАРА ЗАГОРА
2223,ГЪЛЪБОВЦИ,СЛИВНИЦА,СОФИЯ
3785,ГЪМЗОВО,БРЕГОВО,ВИДИН
2550,ГЪРБИНО,КЮСТЕНДИЛ,КЮСТЕНДИЛ
6760,ГЪРБИЩЕ,АРДИНО,КЪРДЖАЛИ
5087,ГЪРДЕВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
2381,ГЪРЛО,БРЕЗНИК,ПЕРНИК
2568,ГЪРЛЯНО,КЮСТЕНДИЛ,КЮСТЕНДИЛ
2960,ГЪРМЕН,ГЪРМЕН,БЛАГОЕВГРАД
4991,ГЪРНАТИ,НЕДЕЛИНО,СМОЛЯН
5370,ГЪРНЯ,ДРЯНОВО,ГАБРОВО
7844,ГЪРЧИНОВО,ОПАКА,ТЪРГОВИЩЕ
6651,ГЪСКОВО,КЪРДЖАЛИ,КЪРДЖАЛИ
4811,ГЬОВРЕН,ДЕВИН,СМОЛЯН
2570,ГЮЕШЕВО,КЮСТЕНДИЛ,КЮСТЕНДИЛ
8249,ГЮЛЬОВЦА,НЕСЕБЪР,БУРГАС
2875,ГЮРГЕВО,ПЕТРИЧ,БЛАГОЕВГРАД
3932,ГЮРГИЧ,РУЖИНЦИ,ВИДИН
5083,ДАВЕРИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
4944,ДАВИДКОВО,БАНИТЕ,СМОЛЯН
7563,ДАВИДОВО,КАЙНАРДЖА,СИЛИСТРА
7758,ДАВИДОВО,ТЪРГОВИЩЕ,ТЪРГОВИЩЕ
2779,ДАГОНОВО,БЕЛИЦА,БЛАГОЕВГРАД
5365,ДАЕВЦИ,ТРЯВНА,ГАБРОВО
5084,ДАЙНОВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
2813,ДАМЯНИЦА,САНДАНСКИ,БЛАГОЕВГРАД
5437,ДАМЯНОВО,СЕВЛИЕВО,ГАБРОВО
6261,ДАСКАЛ АТАНАСОВО,РАДНЕВО,СТАРА ЗАГОРА
6707,ДАСКАЛОВО,ЧЕРНООЧЕНЕ,КЪРДЖАЛИ
7150,ДВЕ МОГИЛИ,ДВЕ МОГИЛИ,РУСЕ
4949,ДВЕ ТОПОЛИ,БАНИТЕ,СМОЛЯН
2541,ДВОРИЩЕ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
6193,ДВОРИЩЕ,МЪГЛИЖ,СТАРА ЗАГОРА
5307,ДЕБЕЛ ДЯЛ,ГАБРОВО,ГАБРОВО
5030,ДЕБЕЛЕЦ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
2416,ДЕБЕЛИ ЛАГ,РАДОМИР,ПЕРНИК
5084,ДЕБЕЛИ РЪТ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
8314,ДЕБЕЛТ,СРЕДЕЦ,БУРГАС
5435,ДЕБЕЛЦОВО,СЕВЛИЕВО,ГАБРОВО
4946,ДЕБЕЛЯНОВО,БАНИТЕ,СМОЛЯН
5657,ДЕБНЕВО,ТРОЯН,ЛОВЕЧ
5958,ДЕБОВО,НИКОПОЛ,ПЛЕВЕН
2748,ДЕБОЧИЦА,БЛАГОЕВГРАД,БЛАГОЕВГРАД
2961,ДЕБРЕН,ГЪРМЕН,БЛАГОЕВГРАД
9353,ДЕБРЕНЕ,ДОБРИЧ,ДОБРИЧ
2803,ДЕБРЕНЕ,САНДАНСКИ,БЛАГОЕВГРАД
4414,ДЕБРЪЩИЦА,ПАЗАРДЖИК,ПАЗАРДЖИК
3065,ДЕВЕНЕ,ВРАЦА,ВРАЦА
5995,ДЕВЕНЦИ,ЧЕРВЕН БРЯГ,ПЛЕВЕН
6934,ДЕВЕСИЛИЦА,КРУМОВГРАД,КЪРДЖАЛИ
6933,ДЕВЕСИЛОВО,КРУМОВГРАД,КЪРДЖАЛИ
8480,ДЕВЕТАК,КАРНОБАТ,БУРГАС
5555,ДЕВЕТАКИ,ЛОВЕЧ,ЛОВЕЧ
5050,ДЕВЕТАЦИТЕ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
8474,ДЕВЕТИНЦИ,КАРНОБАТ,БУРГАС
4800,ДЕВИН,ДЕВИН,СМОЛЯН
7972,ДЕВИНО,АНТОНОВО,ТЪРГОВИЩЕ
6833,ДЕВИНЦИ,МОМЧИЛГРАД,КЪРДЖАЛИ
9160,ДЕВНЯ,ДЕВНЯ,ВАРНА
6861,ДЕДЕЦ,КИРКОВО,КЪРДЖАЛИ
5089,ДЕДИНА,ЗЛАТАРИЦА,ВЕЛИКО ТЪРНОВО
6779,ДЕДИНО,АРДИНО,КЪРДЖАЛИ
5089,ДЕДИНЦИ,ЗЛАТАРИЦА,ВЕЛИКО ТЪРНОВО
4106,ДЕДОВО,РОДОПИ,ПЛОВДИВ
5935,ДЕКОВ,БЕЛЕНЕ,ПЛЕВЕН
2728,ДЕЛВИНО,БЛАГОЕВГРАД,БЛАГОЕВГРАД
6896,ДЕЛВИНО,КИРКОВО,КЪРДЖАЛИ
3795,ДЕЛЕЙНА,БРЕГОВО,ВИДИН
5084,ДЕЛОВА МАХАЛА,ЗЛАТАРИЦА,ВЕЛИКО ТЪРНОВО
2917,ДЕЛЧЕВО,ГОЦЕ ДЕЛЧЕВ,БЛАГОЕВГРАД
7427,ДЕЛЧЕВО,ИСПЕРИХ,РАЗГРАД
2225,ДЕЛЯН,БОЖУРИЩЕ,СОФИЯ
2652,ДЕЛЯН,ДУПНИЦА,КЮСТЕНДИЛ
5292,ДЕЛЯНОВЦИ,СВИЩОВ,ВЕЛИКО ТЪРНОВО
8726,ДЕННИЦА,БОЛЯРОВО,ЯМБОЛ
9772,ДЕННИЦА,ВЕНЕЦ,ШУМЕН
5377,ДЕНЧЕВЦИ,ДРЯНОВО,ГАБРОВО
6539,ДЕРВИШКА МОГИЛА,СВИЛЕНГРАД,ХАСКОВО
5780,ДЕРМАНЦИ,ЛУКОВИТ,ЛОВЕЧ
9111,ДЕТЕЛИНА,ДОЛНИ ЧИФЛИК,ВАРНА
8483,ДЕТЕЛИНА,КАРНОБАТ,БУРГАС
5041,ДЕЧКОВЦИ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
2060,ДЖАМУЗОВЦИ,ИХТИМАН,СОФИЯ
6908,ДЖАНКА,КРУМОВГРАД,КЪРДЖАЛИ
6850,ДЖЕБЕЛ,ДЖЕБЕЛ,КЪРДЖАЛИ
6824,ДЖЕЛЕПСКО,МОМЧИЛГРАД,КЪРДЖАЛИ
2648,ДЖЕРМАН,ДУПНИЦА,КЮСТЕНДИЛ
6872,ДЖЕРОВО,КИРКОВО,КЪРДЖАЛИ
2812,ДЖИГУРОВО,САНДАНСКИ,БЛАГОЕВГРАД
8691,ДЖИНОТ,СТРАЛДЖА,ЯМБОЛ
2483,ДЖИНЧОВЦИ,ТРЪН,ПЕРНИК
5146,ДЖУЛЮНИЦА,ЛЯСКОВЕЦ,ВЕЛИКО ТЪРНОВО
7137,ДЖУЛЮНИЦА,ЦЕНОВО,РУСЕ
5343,ДЖУМРИИТЕ,ГАБРОВО,ГАБРОВО
4241,ДЖУРКОВО,ЛЪКИ,ПЛОВДИВ
2163,ДЖУРОВО,ПРАВЕЦ,СОФИЯ
5380,ДЖУРОВЦИ,ДРЯНОВО,ГАБРОВО
9811,ДИБИЧ,ШУМЕН,ШУМЕН
3492,ДИВА СЛАТИНА,ГЕОРГИ ДАМЯНОВО,МОНТАНА
5345,ДИВЕЦИ,ГАБРОВО,ГАБРОВО
2457,ДИВЛЯ,ЗЕМЕН,ПЕРНИК
2350,ДИВОТИНО,ПЕРНИК,ПЕРНИК
5727,ДИВЧОВОТО,ТЕТЕВЕН,ЛОВЕЧ
4994,ДИМАНОВО,НЕДЕЛИНО,СМОЛЯН
5363,ДИМИЕВЦИ,ТРЯВНА,ГАБРОВО
6259,ДИМИТРИЕВО,ЧИРПАН,СТАРА ЗАГОРА
6400,ДИМИТРОВГРАД,ДИМИТРОВГРАД,ХАСКОВО
5050,ДИМИТРОВЦИ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
6518,ДИМИТРОВЧЕ,СВИЛЕНГРАД,ХАСКОВО
3750,ДИМОВО,ДИМОВО,ВИДИН
4757,ДИМОВО,СМОЛЯН,СМОЛЯН
5035,ДИМОВЦИ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
6192,ДИМОВЦИ,ГУРКОВО,СТАРА ЗАГОРА
5234,ДИМЧА,ПАВЛИКЕНИ,ВЕЛИКО ТЪРНОВО
8159,ДИМЧЕВО,БУРГАС,БУРГАС
6340,ДИНЕВО,ХАСКОВО,ХАСКОВО
4149,ДИНК,МАРИЦА,ПЛОВДИВ
4458,ДИНКАТА,ЛЕСИЧОВО,ПАЗАРДЖИК
3783,ДИНКОВИЦА,ВИДИН,ВИДИН
3921,ДИНКОВО,РУЖИНЦИ,ВИДИН
6268,ДИНЯ,РАДНЕВО,СТАРА ЗАГОРА
4927,ДИРАЛО,МАДАН,СМОЛЯН
5886,ДИСЕВИЦА,ПЛЕВЕН,ПЛЕВЕН
5441,ДИСМАНИЦА,СЕВЛИЕВО,ГАБРОВО
7625,ДИЧЕВО,ГЛАВИНИЦА,СИЛИСТРА
5059,ДИЧИН,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
6432,ДЛЪГНЕВО,ДИМИТРОВГРАД,ХАСКОВО
5392,ДЛЪГНЯ,ДРЯНОВО,ГАБРОВО
7997,ДЛЪЖКА ПОЛЯНА,АНТОНОВО,ТЪРГОВИЩЕ
9789,ДЛЪЖКО,ХИТРИНО,ШУМЕН
2582,ДЛЪХЧЕВО - САБЛЯР,НЕВЕСТИНО,КЮСТЕНДИЛ
6947,ДОБОРСКО,КРУМОВГРАД,КЪРДЖАЛИ
8580,ДОБРА ПОЛЯНА,РУЕН,БУРГАС
2279,ДОБРАВИЦА,СВОГЕ,СОФИЯ
4259,ДОБРАЛЪК,КУКЛЕН,ПЛОВДИВ
4917,ДОБРЕВА ЧЕРЕША,РУДОЗЕМ,СМОЛЯН
9399,ДОБРЕВО,ДОБРИЧ,ДОБРИЧ
