postal_code,location,manuplicity,admin_center
5726,БАБИНЦИ,ТЕТЕВЕН,ЛОВЕЧ
2365,БАБИЦА,БРЕЗНИК,ПЕРНИК
4774,БАБЛОН,СМОЛЯН,СМОЛЯН
7068,БАБОВО,СЛИВО ПОЛЕ,РУСЕ
7573,БАБУК,СИЛИСТРА,СИЛИСТРА
2784,БАБЯК,БЕЛИЦА,БЛАГОЕВГРАД
5094,БАГАЛЕВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
6749,БАГРА,КЪРДЖАЛИ,КЪРДЖАЛИ
2530,БАГРЕНЦИ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
6944,БАГРИЛЦИ,КРУМОВГРАД,КЪРДЖАЛИ
6819,БАГРЯНКА,МОМЧИЛГРАД,КЪРДЖАЛИ
5093,БАДЕВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
2676,БАДИНО,БОБОШЕВО,КЮСТЕНДИЛ
5441,БАЕВА ЛИВАДА,СЕВЛИЕВО,ГАБРОВО
5304,БАЕВЦИ,ГАБРОВО,ГАБРОВО
5087,БАЕВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
5095,БАЖДАРИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
5861,БАЙКАЛ,ДОЛНА МИТРОПОЛИЯ,ПЛЕВЕН
2427,БАЙКАЛСКО,РАДОМИР,ПЕРНИК
9767,БАЙКОВО,ХИТРИНО,ШУМЕН
2133,БАЙЛОВО,ГОРНА МАЛИНА,СОФИЯ
6698,БАКАЛИТЕ,ЧЕРНООЧЕНЕ,КЪРДЖАЛИ
2295,БАКЬОВО,СВОГЕ,СОФИЯ
6816,БАЛАБАНОВО,МОМЧИЛГРАД,КЪРДЖАЛИ
5615,БАЛАБАНСКО,ТРОЯН,ЛОВЕЧ
8471,БАЛАБАНЧЕВО,СУНГУРЛАРЕ,БУРГАС
5370,БАЛАЛЕЯ,ДРЯНОВО,ГАБРОВО
5301,БАЛАНИТЕ,ГАБРОВО,ГАБРОВО
2680,БАЛАНОВО,ДУПНИЦА,КЮСТЕНДИЛ
5064,БАЛВАН,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
5388,БАЛВАНЦИТЕ,ДРЯНОВО,ГАБРОВО
2948,БАЛДЕВО,ГЪРМЕН,БЛАГОЕВГРАД
3797,БАЛЕЙ,БРЕГОВО,ВИДИН
9485,БАЛИК,ТЕРВЕЛ,ДОБРИЧ
5342,БАЛИНОВЦИ,ГАБРОВО,ГАБРОВО
6363,БАЛКАН,СТАМБОЛОВО,ХАСКОВО
4245,БАЛКАН МАХАЛА,ЛЪКИ,ПЛОВДИВ
5634,БАЛКАНЕЦ,ТРОЯН,ЛОВЕЧ
7265,БАЛКАНСКИ,РАЗГРАД,РАЗГРАД
9549,БАЛКАНЦИ,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
5162,БАЛКАНЦИ,СТРАЖИЦА,ВЕЛИКО ТЪРНОВО
5081,БАЛУЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
9600,БАЛЧИК,БАЛЧИК,ДОБРИЧ
1217,БАЛША,район НОВИ ИСКЪР,СОФИЯ
2060,БАЛЬОВЦИ,ИХТИМАН,СОФИЯ
3529,БАЛЮВИЦА,БЕРКОВИЦА,МОНТАНА
5370,БАНАРИ,ДРЯНОВО,ГАБРОВО
5351,БАНГЕЙЦИ,ТРЯВНА,ГАБРОВО
8125,БАНЕВО,БУРГАС,БУРГАС
7167,БАНИСКА,ДВЕ МОГИЛИ,РУСЕ
4940,БАНИТЕ,БАНИТЕ,СМОЛЯН
3077,БАНИЦА,ВРАЦА,ВРАЦА
2905,БАНИЧАН,ГОЦЕ ДЕЛЧЕВ,БЛАГОЕВГРАД
2388,БАНИЩЕ,БРЕЗНИК,ПЕРНИК
7997,БАНКОВЕЦ,АНТОНОВО,ТЪРГОВИЩЕ
5300,БАНКОВЦИ,ГАБРОВО,ГАБРОВО
1320,БАНКЯ,район БАНКЯ,СОФИЯ
2466,БАНКЯ,ТРЪН,ПЕРНИК
9144,БАНОВО,СУВОРОВО,ВАРНА
2770,БАНСКО,БАНСКО,БЛАГОЕВГРАД
2060,БАНЧОВЦИ,ИХТИМАН,СОФИЯ
4360,БАНЯ,КАРЛОВО,ПЛОВДИВ
8239,БАНЯ,НЕСЕБЪР,БУРГАС
8914,БАНЯ,НОВА ЗАГОРА,СЛИВЕН
4523,БАНЯ,ПАНАГЮРИЩЕ,ПАЗАРДЖИК
2778,БАНЯ,РАЗЛОГ,БЛАГОЕВГРАД
2634,БАРАКОВО,КОЧЕРИНОВО,КЮСТЕНДИЛ
6910,БАРАЦИ,КРУМОВГРАД,КЪРДЖАЛИ
4830,БАРУТИН,ДОСПАТ,СМОЛЯН
7071,БАСАРБОВО,РУСЕ,РУСЕ
2883,БАСКАЛЦИ,ПЕТРИЧ,БЛАГОЕВГРАД
8218,БАТА,ПОМОРИЕ,БУРГАС
4580,БАТАК,БАТАК,ПАЗАРДЖИК
5228,БАТАК,ПАВЛИКЕНИ,ВЕЛИКО ТЪРНОВО
2340,БАТАНОВЦИ,ПЕРНИК,ПЕРНИК
7172,БАТИН,БОРОВО,РУСЕ
7169,БАТИШНИЦА,ДВЕ МОГИЛИ,РУСЕ
9364,БАТОВО,ДОБРИЧ,ДОБРИЧ
5470,БАТОШЕВО,СЕВЛИЕВО,ГАБРОВО
2295,БАТУЛИЯ,СВОГЕ,СОФИЯ
5764,БАТУЛЦИ,ЯБЛАНИЦА,ЛОВЕЧ
3068,БАУРЕНЕ,КРИВОДОЛ,ВРАЦА
2219,БАХАЛИН,СЛИВНИЦА,СОФИЯ
5567,БАХОВИЦА,ЛОВЕЧ,ЛОВЕЧ
5367,БАХРЕЦИ,ТРЯВНА,ГАБРОВО
5948,БАЦОВА МАХАЛА,НИКОПОЛ,ПЛЕВЕН
2769,БАЧЕВО,РАЗЛОГ,БЛАГОЕВГРАД
4251,БАЧКОВО,АСЕНОВГРАД,ПЛОВДИВ
6777,БАШЕВО,АРДИНО,КЪРДЖАЛИ
7619,БАЩИНО,ГЛАВИНИЦА,СИЛИСТРА
6669,БАЩИНО,КЪРДЖАЛИ,КЪРДЖАЛИ
6068,БАЩИНО,ОПАН,СТАРА ЗАГОРА
7745,БАЯЧЕВО,ТЪРГОВИЩЕ,ТЪРГОВИЩЕ
9381,БДИНЦИ,ДОБРИЧ,ДОБРИЧ
5084,БЕБРОВО,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
5872,БЕГЛЕЖ,ПЛЕВЕН,ПЛЕВЕН
4166,БЕГОВО,КАЛОЯНОВО,ПЛОВДИВ
2395,БЕГУНОВЦИ,БРЕЗНИК,ПЕРНИК
4359,БЕГУНЦИ,КАРЛОВО,ПЛОВДИВ
4817,БЕДЕН,ДЕВИН,СМОЛЯН
9924,БЕДЖЕНЕ,НОВИ ПАЗАР,ШУМЕН
6716,БЕДРОВО,ЧЕРНООЧЕНЕ,КЪРДЖАЛИ
9567,БЕЖАНОВО,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
5792,БЕЖАНОВО,ЛУКОВИТ,ЛОВЕЧ
9637,БЕЗВОДИЦА,БАЛЧИК,ДОБРИЧ
6718,БЕЗВОДНО,ЧЕРНООЧЕНЕ,КЪРДЖАЛИ
2236,БЕЗДЕН,КОСТИНБРОД,СОФИЯ
3454,БЕЗДЕНИЦА,МОНТАНА,МОНТАНА
9480,БЕЗМЕР,ТЕРВЕЛ,ДОБРИЧ
8637,БЕЗМЕР,ТУНДЖА,ЯМБОЛ
5094,БЕЙКОВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
5673,БЕКЛЕМЕТО,ТРОЯН,ЛОВЕЧ
5300,БЕКРИИТЕ,ГАБРОВО,ГАБРОВО
2793,БЕЛ КАМЕН,ЯКОРУДА,БЛАГОЕВГРАД
3965,БЕЛА,ДИМОВО,ВИДИН
3731,БЕЛА РАДА,ВИДИН,ВИДИН
2453,БЕЛАНИЦА,РАДОМИР,ПЕРНИК
2881,БЕЛАСИЦА,ПЕТРИЧ,БЛАГОЕВГРАД
4124,БЕЛАЩИЦА,РОДОПИ,ПЛОВДИВ
9690,БЕЛГУН,КАВАРНА,ДОБРИЧ
4738,БЕЛЕВ ДОЛ,СМОЛЯН,СМОЛЯН
2800,БЕЛЕВЕХЧЕВО,САНДАНСКИ,БЛАГОЕВГРАД
8345,БЕЛЕВРЕН,СРЕДЕЦ,БУРГАС
5930,БЕЛЕНЕ,БЕЛЕНЕ,ПЛЕВЕН
5783,БЕЛЕНЦИ,ЛУКОВИТ,ЛОВЕЧ
3441,БЕЛИ БРЕГ,БОЙЧИНОВЦИ,МОНТАНА
3447,БЕЛИ БРОД,БОЙЧИНОВЦИ,МОНТАНА
6262,БЕЛИ БРЯГ,РАДНЕВО,СТАРА ЗАГОРА
6702,БЕЛИ ВИР,ЧЕРНООЧЕНЕ,КЪРДЖАЛИ
6590,БЕЛИ ДОЛ,ИВАЙЛОВГРАД,ХАСКОВО
3040,БЕЛИ ИЗВОР,ВРАЦА,ВРАЦА
2011,БЕЛИ ИСКЪР,САМОКОВ,СОФИЯ
7293,БЕЛИ ЛОМ,ЛОЗНИЦА,РАЗГРАД
