,0
възрастна,44
нов,44
излезе,44
facebook,44
сам,44
първите,44
света,43
стая,43
васил,43
бабата,43
резултат,43
случило,43
сдвр,43
имам,43
земята,43
имаме,43
февруари,43
георгиев,43
извършител,43
същото,43
дава,43
нямат,43
направил,42
почти,42
достатъчно,42
сигнала,42
места,42
категорична,42
убита,42
август,42
петър,42
пет,42
сливен,42
намира,42
самопризнания,42
общината,42
граждани,42
отношение,41
такъв,41
кодекс,41
марина,41
родители,41
герб,41
отделение,41
колко,41
нужда,41
издирва,41
иванова,41
пистолет,41
улица,41
задържана,41
жесток,41
скоро,41
казал,41
врата,41
събития,41
почина,41
пострадали,40
евро,40
шест,40
видях,40
обяви,40
такава,40
вратата,40
проявен,40
неделя,40
гледа,40
нощ,40
грабеж,40
групата,40
обвиняем,40
медицинска,40
засега,39
среща,39
агенция,39
валентин,39
показва,39
очите,39
ударил,39
сградата,39
продължи,39
междувременно,39
права,39
обвинението,39
борисов,39
областната,39
млада,39
виновен,39
април,39
възможно,39
продължават,39
сподели,38
кметът,38
нормално,38
нейната,38
районната,38
научи,38
версия,38
бивш,38
досега,38
искат,38
ръцете,38
обяснява,38
василев,38
доста,38
повод,38
имал,38
бях,38
добро,37
киселина,37
екипи,37
идва,37
нови,37
институциите,37
намерена,37
адвокатът,37
домашен,37
апартамент,37
физически,37
другата,37
извършителя,37
нямаше,37
вие,37
поради,37
показват,37
допълва,36
единият,36
подчерта,36
целия,36
враца,36
пребита,36
акт,36
някои,36
висока,36
обвиняемия,36
николай,36
нещата,36
фондация,36
агресията,36
твърдят,36
столицата,36
получен,36
спортните,36
тодоров,36
влезе,36
нова,36
мярката,36
наказателния,36
дума,35
призна,35
физическо,35
декември,35
нападателят,35
детска,35
клас,35
настанена,35
емил,35
христо,35
подобни,35
заплахи,35
установи,35
доживотен,35
първата,35
блок,35
сметка,35
лично,35
данните,35
незабавно,35
някаква,34
метра,34
близост,34
пламен,34
средства,34
добрич,34
извън,34
иванов,34
зам,34
последно,34
удря,34
вземе,34
действията,34
фирма,34
организации,34
жестоко,34
гледай,34
своята,34
осъден,34
присъди,34
социално,34
окръжна,34
филмите,34
посочват,34
свидетел,34
съобщава,34
предаването,34
побоя,34
уточни,33
калоян,33
роднини,33
жалба,33
последната,33
същия,33
операция,33
справедливост,33
полицейско,33
александър,33
имали,33
нападението,33
брат,33
вижте,33
сума,33
полицейска,33
отказа,33
живеела,33
каже,33
неговата,33
