,0
сащ,2
калоян,2
евгения,2
гората,2
близнаците,2
викторио,2
сергей,2
александров,2
малкият,2
синът,2
брак,2
челен,2
роля,2
болницата,2
пример,2
проституция,2
органите,2
приятелки,2
постоянен,2
лице,2
снимката,2
кога,2
казва,2
аспарухово,2
юмруци,2
общината,2
строги,2
наказания,2
басейн,2
студентки,2
карта,2
ограбил,2
стават,2
открадна,2
става,2
предложение,2
съдят,2
имам,2
нея,2
въздушна,2
пушка,2
престъпник,2
петко,2
измамник,2
кола,2
двустранна,2
задържания,2
мирослава,2
избягало,2
герой,2
русия,2
осъден,2
шарков,2
младата,2
издирва,2
бъдат,2
международния,2
връстничка,2
сестрата,2
българка,2
гурково,2
георги,2
джипа,2
заподозрения,2
застреляна,2
предадоха,2
обвиняемия,2
гоце,2
делчев,2
нищо,2
ученик,2
габрово,2
друго,2
съпруг,2
руините,2
антония,2
годишни,2
обвинените,2
сексуално,2
изгубили,2
около,2
възрастната,2
постоянно,2
киро,2
застреля,2
шарково,2
вече,2
близки,2
четирима,2
командос,2
актрисата,2
дъбово,2
частна,2
цветанов,2
убиеца,2
убити,2
кристина,2
два,2
детската,2
отново,2
почернена,2
особено,2
документи,2
сдс,2
битов,2
въоръжен,2
спешна,2
присъдите,2
кой,2
ученичката,2
казаха,2
близо,2
исперих,2
портфейл,2
присъди,2
бори,2
разпит,2
излязоха,2
имот,2
надежда,2
ограбвал,2
дарина,2
извадиха,2
помогне,2
димитров,2
държавата,2
проговори,2
дързък,2
обир,2
загиналата,2
вода,2
заподозреният,2
окончателно,2
младост,2
няколко,2
основна,2
дело,2
заповед,2
рецидивистът,2
зад,2
иван,2
месец,2
смолян,2
отношения,2
залял,2
борят,2
нехаят,2
помага,2
спомените,2
мвнр,2
извършителят,2
институциите,2
тормози,2
стоянова,2
шок,2
мен,2
панагюрище,2
топлото,2
издирване,2
каза,2
ръст,2
еспч,2
вярва,2
директор,2
блудствал,2
мозъчно,2
ножове,2
любов,2
сътресение,2
първата,2
стрелбата,2
пострадала,2
сириец,2
изнасилил,2
кметицата,2
проверка,2
вальо,2
гонка,2
луковит,2
дадоха,2
търновско,2
дунав,2
полиция,2
памет,2
самоубие,2
бояна,2
пирогов,2
разделени,2
може,2
столично,2
пети,2
български,2
алекс,2
проблемът,2
отиде,2
правителството,2
възпитателка,2
хаити,2
виновен,2
квартал,2
ако,2
разград,2
камък,2
бил,2
брат,2
себе,2
тракия,2
изнасилвал,2
сблъсък,2
системно,2
водите,2
раздяла,2
младежи,2
боян,2
тервел,2
варненско,2
репортаж,2
ботунец,2
залятите,2
бдение,2
скок,2
получила,2
неговата,2
терзиев,2
влиза,2
вкъщи,2
жестокото,2
акция,2
излезе,2
пилот,2
място,2
застрелял,2
паднало,2
пияна,2
гръмна,2
заложници,2
форма,2
всички,2
осъди,2
своята,2
загиналия,2
самосезира,2
влезе,2
пребито,2
трафикант,2
завод,2
версия,2
удуши,2
таксиджията,2
извършителя,2
миг,2
схемата,2
средства,2
македонската,2
зам,2
случай,2
цветя,2
правят,2
интернет,2
рашков,2
провадия,2
непълнолетни,2
трафиканти,2
мартин,2
италия,2
понесе,1
потопа,1
майки,1
нейно,1
околовръстното,1
вярвам,1
лидия,1
посегнала,1
другата,1
мост,1
можа,1
пациент,1
духовна,1
полетя,1
дойде,1
законна,1
вряла,1
бчк,1
яна,1
франция,1
бурка,1
разчленил,1
нося,1
плаща,1
ходжа,1
посегнал,1
бъгито,1
казино,1
движение,1
спря,1
самозащита,1
ясен,1
тодоров,1
съобщенията,1
часове,1
обичам,1
бога,1
александра,1
хайредин,1
наказанието,1
пуснат,1
председателя,1
припаднала,1
лазаруват,1
джебел,1
едната,1
булка,1
отвлече,1
лекарка,1
заля,1
военен,1
съгласи,1
екстрадиран,1
братята,1
овъглено,1
побойник,1
гавра,1
биячите,1
използвало,1
красота,1
цариградско,1
страсбург,1
шосе,1
продължават,1
маскиран,1
вила,1
съветва,1
разговорите,1
обра,1
кметица,1
мъртви,1
барикадирания,1
тригодишно,1
преследват,1
прибира,1
вдигна,1
проверяват,1
варненец,1
зоната,1
умствена,1
смъртни,1
биха,1
изостаналост,1
данъци,1
започнахме,1
качулка,1
платили,1
вип,1
рени,1
куртев,1
джигити,1
изнесоха,1
намерени,1
намери,1
случаи,1
ана,1
плаж,1
старозагорско,1
минувач,1
бих,1
условна,1
полицейска,1
обвини,1
взе,1
насили,1
започва,1
единия,1
седмокласник,1
склоняване,1
омраза,1
мудност,1
кат,1
селфи,1
присъда,1
сандански,1
спецчасти,1
рибарския,1
тормозещ,1
предаването,1
екстремно,1
тежка,1
направи,1
монстанско,1
водена,1
опитало,1
правда,1
рак,1
внуци,1
други,1
приморско,1
натъпкал,1
лазаровден,1
отне,1
лявата,1
смъртно,1
ръчичка,1
зрелищен,1
екипи,1
песен,1
обвинявам,1
бич,1
поискал,1
предложи,1
пита,1
шефове,1
контактен,1
соло,1
малкия,1
напада,1
действията,1
протеза,1
мобилни,1
получих,1
лик,1
спречкване,1
рецидивиста,1
паднаха,1
марица,1
закон,1
стъпка,1
приемно,1
дина,1
събират,1
ромите,1
неговия,1
тениски,1
пуска,1
прегазения,1
тази,1
насиленото,1
крепост,1
посока,1
лицемерно,1
дилов,1
удавяне,1
негово,1
ембака,1
волен,1
руши,1
всеки,1
скандала,1
избягал,1
жестокост,1
човешки,1
потърпевша,1
завлечена,1
косъм,1
похитителя,1
повторно,1
имаха,1
съдби,1
любовна,1
правнуци,1
черен,1
чуколов,1
девинска,1
ченалова,1
локум,1
спасили,1
гранични,1
абитуриенти,1
наградиха,1
политика,1
асенова,1
възпитава,1
кутиите,1
прегазиха,1
февруари,1
огъня,1
недка,1
изнасилени,1
добричкото,1
черна,1
мина,1
ада,1
страх,1
кабинета,1
четвъртокласничка,1
влекач,1
насилника,1
подозрения,1
тайната,1
напълно,1
евстатиев,1
отнесе,1
луканов,1
намушкал,1
легални,1
здравкова,1
множество,1
високи,1
опроверга,1
държава,1
управител,1
областният,1
битката,1
любимия,1
помогнеш,1
можеш,1
ужасен,1
семейната,1
битото,1
пазарджишката,1
битови,1
честитки,1
лампи,1
улични,1
рожден,1
изпочупиха,1
домашен,1
мъглиж,1
санитарка,1
празниците,1
горски,1
подкупят,1
али,1
набил,1
повишават,1
рязко,1
сигналите,1
съученици,1
лошото,1
върбица,1
оцеляло,1
кабелите,1
драготинци,1
добрена,1
събудил,1
плажа,1
протестират,1
берковица,1
парка,1
осветлението,1
софронка,1
несломимият,1
гнева,1
опитала,1
юлиан,1
уволнение,1
търговищко,1
цистерна,1
кръстовище,1
вучков,1
сапунджиева,1
дух,1
бивши,1
бокс,1
непълнолетна,1
нощта,1
шум,1
софиянец,1
изваден,1
тодор,1
пъков,1
вадил,1
антов,1
йорданка,1
смята,1
леглото,1
прикована,1
разказът,1
похвали,1
заплашван,1
габровско,1
изнасилено,1
непредпазливост,1
сестра,1
