,0
някой,30
виновен,30
николай,30
разследване,30
приятелка,30
имала,30
начала,29
сряда,29
живеят,29
възможност,29
правят,29
очите,29
нямам,29
очаква,29
излезе,29
сигналът,29
димитър,29
деянието,29
пише,29
предаде,29
ръце,29
остават,29
акт,29
оглед,29
работят,29
къща,29
полицейски,29
своите,29
вероятно,29
разбира,29
реда,29
помогне,28
голям,28
понеделник,28
води,28
своята,28
другите,28
цялата,28
хиляди,28
положение,28
добави,28
родители,28
партньор,28
издирване,28
съседите,28
съобщи,28
автомобил,28
снимка,28
случаят,28
градина,28
дойде,28
направил,28
против,28
трима,28
жалби,28
ръка,28
кажа,27
даниела,27
органите,27
вместо,27
губи,27
насилника,27
свят,27
присъди,27
сутрин,27
права,27
обвинението,27
пострадали,27
убитата,27
събота,27
история,27
среща,27
търсят,27
детска,27
възрастни,27
враца,27
кражби,27
август,27
младата,27
коронавирус,27
продължение,27
период,27
сигнали,27
тежката,27
полицаите,27
жестоко,27
наркотици,27
каже,27
скоро,27
съвет,27
наказание,26
станало,26
общо,26
предвижда,26
рано,26
присъдата,26
заместник,26
обяснява,26
видях,26
смята,26
образувано,26
оръжие,26
мъртва,26
домашен,26
внимание,26
криминално,26
наистина,26
продължават,26
държавата,26
важно,26
спешния,26
превенция,26
физически,26
осъждан,26
последната,26
роднини,26
възможно,26
тежкото,25
коронавируса,25
българския,25
настанена,25
борбата,25
казах,25
твърдят,25
показва,25
нейните,25
автомобила,25
благоевград,25
момичетата,25
размер,25
районна,25
четете,25
отделение,25
заплахи,25
шумен,25
седмици,25
можем,25
крака,25
голяма,25
времето,25
побоя,25
извършени,25
евро,25
жестокото,25
ръководството,25
колко,25
нейната,25
съпруг,24
димитров,24
окръжен,24
сумата,24
намерена,24
двора,24
влезе,24
дава,24
гледа,24
отговорност,24
октомври,24
обвиняем,24
каква,24
поиска,24
оказа,24
арестуван,24
вземат,24
голямата,24
институциите,24
увреждания,24
свидетел,24
блок,24
решава,24
вратата,24
кметът,24
рецидивист,24
четири,24
загора,24
извършил,24
имали,24
причините,24
многократно,24
постоянен,23
нападната,23
герб,23
обвиняемия,23
първото,23
започнали,23
нещата,23
първите,23
организации,23
шофьор,23
продължи,23
бившата,23
ръцете,23
маргарита,23
пет,23
реши,23
трябваше,23
продължителност,23
сексуално,23
първата,23
брат,23
медицинска,23
окръжна,23
включително,23
дават,23
годината,23
любов,23
първа,23
рани,23
предаването,23
нов,23
жалба,23
юни,23
тежки,23
областта,23
юмруци,23
мартин,23
ревност,23
кодекс,23
турция,23
категорична,23
петър,23
борисов,23
ново,23
тяло,22
писмо,22
германия,22
казаха,22
община,22
линейката,22
поне,22
екипът,22
хода,22
ваня,22
успяла,22
бие,22
измама,22
дълго,22
средна,22
апелативен,22
ситуация,22
някаква,22
клас,22
помогнат,22
показват,22
виолета,22
йорданова,22
говорят,22
бсп,22
бившият,22
открита,22
георгиев,22
комисар,22
съжаление,22
жители,22
отказва,22
лечението,22
теб,22
разград,22
добро,22
внесе,22
камерата,22
началникът,21
дума,21
сами,21
целта,21
опита,21
стаята,21
система,21
пребита,21
имал,21
апартамент,21
статистиката,21
първият,21
неговата,21
отговор,21
вземе,21
извърши,21
абсолютно,21
сливен,21
заболяване,21
петрова,21
емил,21
успя,21
институции,21
наталия,21
декември,21
министерство,21
мрежа,21
интернет,21
българските,21
нападна,21
висока,21
кремена,21
периода,21
травма,21
получила,21
съседи,21
опитал,21
граждани,21
остане,21
фонд,21
началник,21
етап,21
извършителите,21
жесток,21
софийската,20
самата,20
илияна,20
районен,20
призна,20
правосъдието,20
георгиева,20
организация,20
намери,20
земята,20
ръката,20
ноември,20
социалната,20
фиш,20
повечето,20
ралица,20
укрие,20
кръв,20
нямаше,20
обувки,20
втори,20
ходи,20
психично,20
чужбина,20
постановление,20
национална,20
планината,20
бременна,20
моята,20
мисля,20
стават,20
шофьорът,20
макар,20
бъда,20
другата,20
травми,20
десетки,20
бгнес,20
потърпевшата,20
наказателния,20
отидох,20
полицай,20
съвсем,20
горна,20
вътре,20
агенция,20
животът,20
името,20
големи,20
психическо,19
последно,19
лично,19
наред,19
зам,19
спешно,19
системен,19
неделя,19
спре,19
социална,19
успява,19
калоян,19
удря,19
цял,19
системно,19
благодаря,19
повод,19
избяга,19
защитата,19
образование,19
силно,19
шанс,19
моя,19
италия,19
подала,19
сградата,19
линейка,19
съобщава,19
чувства,19
действията,19
мъчителен,19
експертизи,19
вид,19
сектор,19
утре,19
директора,19
вина,19
април,19
законът,19
съдебно,19
следващия,19
причиняване,19
асоциация,19
жива,19
сума,19
нападение,19
жестокост,19
обясниха,19
плевен,19
наложи,19
четвъртък,19
човекът,19
събраните,19
заявява,19
издирването,19
здраве,19
органи,19
столицата,19
идва,19
пандемията,19
елена,19
задържаният,19
етаж,19
всъщност,19
интервю,19
видял,19
кристина,19
следва,19
отиде,19
предполага,19
сили,18
стига,18
населението,18
екатерина,18
министерството,18
милен,18
камери,18
кампанията,18
рамките,18
александър,18
поради,18
представители,18
районно,18
човека,18
взел,18
категоричен,18
наказанието,18
статистика,18
събуди,18
магистратите,18
блока,18
приета,18
бившия,18
бой,18
брак,18
учителка,18
вследствие,18
започват,18
отива,18
вторник,18
нямат,18
оттам,18
обществото,18
кюстендил,18
повдигнато,18
лекари,18
услуги,18
поведение,18
добрич,18
сдвр,18
dariknews,18
европа,18
понякога,18
грешка,18
категорично,18
линия,18
любовта,18
нямаме,18
съдействие,18
тодоров,18
тежка,18
пазарджик,18
корема,18
мартеници,18
учителката,18
отношения,18
пациенти,18
вината,17
осъден,17
идеята,17
засега,17
установи,17
половина,17
малка,17
настаняване,17
извън,17
улица,17
бивш,17
шок,17
територията,17
правото,17
останалите,17
показания,17
брой,17
страни,17
нападателят,17
първоначално,17
групи,17
екипи,17
започнал,17
нощ,17
аутопсията,17
вещи,17
удар,17
убиецът,17
заподозрян,17
аутопсия,17
изцяло,17
добри,17
тото,17
трета,17
стоянов,17
бита,17
студиото,17
софийския,17
разказват,17
самопризнания,17
риск,17
новите,17
направят,17
гергана,17
говорителят,17
промените,17
димитрова,17
остана,17
общината,17
николов,17
социално,17
групата,17
българите,17
европейския,17
тодор,17
хасково,17
вероника,17
монтана,17
служител,17
юлия,17
обади,17
кадри,17
живеела,17
получава,17
подробности,17
контрол,17
анимус,17
агресията,17
категорични,17
област,17
момчета,17
бта,17
подчерта,17
българското,16
започнала,16
комисия,16
веднъж,16
започнало,16
агресивно,16
момиченцето,16
сериозно,16
палата,16
обжалване,16
подлежи,16
краката,16
труп,16
клипа,16
малки,16
едната,16
живеели,16
подпомагане,16
ролята,16
операции,16
цветелина,16
поискаха,16
някакви,16
никого,16
събраха,16
кома,16
тормози,16
уточни,16
нашите,16
заподозреният,16
центрове,16
дъщерята,16
пожела,16
мнение,16
оряховица,16
невена,16
трети,16
трафик,16
припомняме,16
перник,16
паднала,16
метрото,16
насилник,16
ангелова,16
катя,16
станала,16
никол,16
нейното,16
загина,16
мярката,16
вика,16
потърсят,16
смятам,16
семеен,16
въпроси,16
лошо,16
окончателно,16
социални,16
успели,16
нейни,16
замяна,16
проблемите,16
приятел,16
лека,16
пола,16
незабавно,16
момчето,16
види,16
посочва,16
носи,16
убийства,16
вземане,16
характер,15
номер,15
екипа,15
правилата,15
забрана,15
добър,15
иванов,15
желание,15
стоянова,15
участие,15
красимира,15
стойчева,15
участниците,15
бих,15
простреля,15
счупване,15
единият,15
врачанското,15
сигурност,15
привлечен,15
направила,15
видин,15
помага,15
близост,15
вода,15
възрастен,15
омбудсманът,15
сериозен,15
насилниците,15
комитет,15
дарик,15
юли,15
служителите,15
атанас,15
медицински,15
годините,15
спомня,15
коментар,15
помощи,15
нека,15
подаде,15
малката,15
чака,15
промяна,15
липса,15
гърба,15
признат,15
кога,15
крак,15
ето,15
починалото,15
самият,15
власти,15
умира,15
националната,15
чак,15
кмет,15
агенцията,15
сочат,15
молба,15
коли,15
областната,15
трето,15
петкова,15
правителството,15
йорданов,15
събрани,15
пистолет,15
тръгнала,15
васил,15
косата,15
телефонна,15
отказаха,15
име,15
сандански,15
открит,15
сотиря,15
пресцентъра,15
психолози,15
исках,15
болници,15
българка,14
броят,14
нейна,14
кампания,14
власт,14
агресивен,14
отвори,14
споделят,14
болки,14
пострадалото,14
рана,14
предложения,14
свои,14
христов,14
младежи,14
отделението,14
помня,14
заседание,14
румяна,14
сам,14
арестуваха,14
битката,14
условия,14
проблемът,14
научи,14
потърси,14
събрание,14
употреба,14
бабата,14
свързани,14
медиите,14
другия,14
средната,14
районното,14
налага,14
полицейско,14
цветков,14
намерено,14
жителите,14
съюз,14
убиеца,14
преживели,14
обект,14
бул,14
престъпна,14
ударил,14
единственото,14
спаси,14
дела,14
излиза,14
карат,14
българи,14
пребиха,14
соколов,14
явно,14
районната,14
чакат,14
държавното,14
километра,14
втора,14
особена,14
вярвам,14
неизвестност,14
ситуацията,14
установен,14
своето,14
подава,14
иванова,14
месеци,14
тип,14
двата,14
степен,14
движението,14
момченцето,14
росен,14
извънредното,14
установили,14
казвам,14
схема,14
мозъчна,14
страда,14
градска,14
обичам,14
четвърта,14
василев,14
ученичка,14
силен,14
наказателна,14
добавя,14
резултатите,14
милена,14
последното,13
започнаха,13
хил,13
получат,13
никаква,13
самоличността,13
главният,13
всяко,13
александров,13
партньори,13
основано,13
разкри,13
дейност,13
същата,13
вълна,13
свой,13
поли,13
издирват,13
николова,13
кост,13
входната,13
младост,13
наказателно,13
липсва,13
трагедия,13
четирима,13
огромна,13
настояват,13
кризисни,13
страшно,13
оставиха,13
единствено,13
станали,13
участници,13
доктор,13
източник,13
играе,13
липсата,13
определението,13
стигне,13
междувременно,13
носят,13
проявен,13
едното,13
помощта,13
второ,13
ред,13
струва,13
родител,13
иззети,13
колкото,13
някакъв,13
някого,13
продължил,13
въпроса,13
глас,13
седем,13
входа,13
програма,13
ограничителна,13
цар,13
христова,13
отколкото,13
веселин,13
стрелбата,13
маринов,13
отдел,13
последния,13
пол,13
непълнолетни,13
приятеля,13
изведнъж,13
получен,13
виновни,13
обяснения,13
виктория,13
мерките,13
галина,13
документ,13
конфликт,13
покаже,13
отговори,13
президент,13
мотивите,13
болка,13
щастие,13
опасен,13
певицата,13
пушка,13
буквално,13
камера,13
починало,13
ани,13
българска,13
болестта,13
женски,13
позиция,13
разследват,13
дадат,13
каквото,13
ковачева,13
людмила,13
информацията,13
потвърдиха,13
следващите,13
магазин,13
колева,13
учителите,13
общ,13
намушкана,13
сграда,13
печалбата,12
неин,12
минало,12
блудство,12
лясковец,12
българската,12
адреса,12
малките,12
карта,12
прибира,12
печалба,12
заплашвал,12
обяви,12
дядо,12
контакт,12
неговите,12
върна,12
пореден,12
мбал,12
версия,12
телефонни,12
клиника,12
чух,12
бойко,12
млн,12
показа,12
отдавна,12
хелзинкски,12
поискал,12
нашата,12
бори,12
съсед,12
навсякъде,12
