,0
уби,67
блок,67
постоянно,67
контрол,67
продължи,67
резултат,67
иванова,66
приятел,66
бременна,66
гледа,66
името,66
юни,66
апартамента,66
крака,66
вследствие,66
утре,65
брат,65
достатъчно,65
скандал,65
тежки,65
пожар,65
приятели,65
именно,65
столичната,65
категорична,65
съдебно,65
нужда,65
междувременно,65
земята,65
колко,65
травма,65
бгнес,65
едната,64
волана,64
твърдят,64
обяснява,64
органите,64
реда,64
пазарджик,64
май,64
употреба,64
кучета,64
полицейски,64
жилище,63
види,63
петък,63
зам,63
неизвестност,63
обвинения,63
съдебната,63
следобед,63
тормоз,63
дъщерята,63
разбира,62
подкрепа,62
враца,62
юли,62
получила,62
доста,62
неделя,62
петя,62
избяга,62
досега,62
удар,62
сградата,62
върне,62
среща,62
някои,62
улица,62
отношение,62
вратата,61
двора,61
цялото,61
иванов,61
станала,61
очаква,61
стая,61
промени,61
вземе,61
откарана,61
установи,61
влезе,61
преглед,61
нов,61
останалите,61
нормално,61
сподели,61
ръка,61
разследване,61
улицата,61
фирма,61
същия,60
загинала,60
агресия,60
лекари,60
линейка,60
регистрация,60
дава,60
отказа,60
места,60
нови,60
настанени,59
показва,59
нещата,59
сила,59
страх,59
лишаване,59
присъдата,59
фирмата,59
съвет,59
обяви,59
възможно,59
врата,59
удря,59
близост,59
тел,59
спрямо,59
видях,59
вижте,58
сдвр,58
уточни,58
половина,58
условия,58
борисов,58
георгиева,58
вместо,58
версия,58
христо,58
повреда,58
съобщават,58
социално,58
извърши,58
адвокатът,58
блъснал,58
седмици,58
сигнала,58
нова,57
първия,57
затвора,57
кръстовището,57
видеото,57
приятелка,57
мъжете,57
съобщава,57
фокус,57
лека,57
реши,57
окръжната,57
василев,57
свидетел,57
губи,56
герб,56
вие,56
обясниха,56
момиченце,56
министерството,56
служби,56
август,56
водач,56
тяло,56
февруари,56
каже,56
последно,56
категоричен,56
александър,55
ред,55
сам,55
изясняват,55
отговорност,55
продължават,55
казах,55
областта,55
извършителят,55
починалата,55
мисля,55
началник,55
семейни,55
понеделник,55
излиза,55
виновен,54
дърво,54
спирка,54
извън,54
сериозни,54
искане,54
всъщност,54
загинаха,54
covid,54
шест,54
анна,54
очите,54
бта,54
ситуация,54
детска,54
коментар,53
убитата,53
повдигнато,53
телесна,53
линейката,53
април,53
вода,53
единият,53
издирването,53
получен,53
бившия,53
декември,53
местопроизшествието,52
протест,52
научи,52
блъсната,52
положение,52
трите,52
любов,52
изпратени,52
животът,52
наистина,52
настанено,52
всяко,51
имал,51
проф,51
вината,51
момиченцето,51
спомня,51
случаите,51
каква,51
мозъчна,51
апартамент,51
кучето,51
младеж,51
лично,51
коли,51
