,0
разказ,4
арестувани,4
присъдата,4
бившият,4
изплува,4
върна,4
тормоз,4
петрич,4
издирваното,4
мина,4
втори,4
отрича,4
опит,4
които,4
намерен,4
магазин,4
паднаха,4
ограби,4
гоце,4
габрово,4
дора,4
бдение,4
държавата,4
наказание,4
стрелял,4
жертви,4
осъди,4
грабеж,4
открит,4
квартал,4
задържана,4
против,4
пъти,4
скочи,4
вчера,4
малката,4
айтос,4
никол,4
кръстовище,4
хотел,4
ударена,4
сигнали,4
сама,4
българска,4
метро,4
обвиненият,4
съпругът,4
карта,4
автобусна,4
луковит,4
върнаха,4
увреждания,4
остана,4
намушка,4
смъртоносно,4
взрив,4
очите,4
петров,4
доживотен,4
момчето,4
брат,4
открита,4
обявена,4
детска,4
бременни,4
мълния,4
изписаха,4
вероника,4
задържани,4
сопот,4
основна,4
запали,4
паметта,4
лечение,4
връзка,4
паднала,4
светите,4
пистолет,4
половина,4
обезщетение,4
пневмония,4
белица,4
загиналите,4
инцидента,3
ваксина,3
водите,3
вълна,3
инсулин,3
задържания,3
глоба,3
първата,3
обир,3
проблема,3
разследването,3
дързък,3
нищо,3
нападнал,3
близки,3
влезе,3
виновен,3
обвинените,3
разследване,3
шофьори,3
годишните,3
обяви,3
семеен,3
заподозрян,3
съдебната,3
престъпна,3
каза,3
държал,3
мост,3
счупен,3
лекарите,3
стреля,3
четири,3
условна,3
новороденото,3
непълнолетни,3
студент,3
критично,3
питбули,3
обвиняемият,3
пример,3
подписка,3
задържа,3
правата,3
изборите,3
убиеца,3
депутат,3
решават,3
петия,3
изхвърлила,3
удуши,3
гаранция,3
диана,3
било,3
росен,3
камък,3
съмнения,3
харманли,3
лагер,3
цветанов,3
остане,3
кара,3
двора,3
карлово,3
оплака,3
малолетно,3
първи,3
ремонт,3
какво,3
прострелял,3
мъртви,3
репортаж,3
проверяват,3
пеевски,3
въоръжен,3
излетя,3
средства,3
мечката,3
нападнала,3
стабилно,3
открито,3
загиналия,3
пилот,3
внучето,3
възрастната,3
завод,3
новогодишната,3
ученичката,3
намери,3
собственика,3
васил,3
гърдата,3
телата,3
самосезира,3
мотивът,3
днес,3
момчета,3
извадиха,3
емил,3
морето,3
заплашила,3
вярваме,3
ботевград,3
доброто,3
изгубила,3
арсенал,3
оставила,3
надзор,3
антов,3
няколко,3
страната,3
трите,3
варненско,3
братя,3
грижи,3
проявен,3
убити,3
юмруци,3
полицаите,3
убитото,3
причина,3
клон,3
късно,3
басейн,3
кмет,3
часа,3
получава,3
младата,3
мартин,3
тормози,3
оцелява,3
сотиря,3
обвинената,3
дунав,3
жертвата,3
отказва,3
отиде,3
контейнер,3
банишора,3
загиналото,3
простреляната,3
домашен,3
търговищко,3
заедно,3
дари,3
помага,3
спешна,3
пострадалото,3
проговори,3
терзиев,3
георги,3
кюстендил,3
мазилка,3
самоубие,3
спешното,3
станишев,3
оцеляха,3
разпит,3
решение,3
системно,3
хвърли,3
обвинени,3
зверското,3
свински,3
човек,3
твърди,3
бъдат,3
джипа,3
случаите,3
мерки,3
ученици,3
истанбулската,3
борисовата,3
испания,3
рашков,3
агресивен,3
студентката,3
присъди,3
условно,3
убиец,3
маршрутка,3
получила,3
сблъсък,3
затворник,3
тераса,3
правят,3
нападал,3
пушат,3
кръвта,3
ревност,3
заплашвал,3
инсулт,3
отвлечено,3
изчезналото,3
ограбиха,3
министерство,3
дарения,3
намерени,3
българско,3
трафика,3
гърция,3
пети,3
полицейска,3
цар,3
море,3
операции,3
отново,3
четвърта,3
николай,3
намерена,3
министър,3
пътнически,3
животът,3
косата,3
фатален,3
основата,3
стадото,3
стават,3
таксиметров,3
църква,3
мечка,3
изчезнали,3
починаха,3
младежи,3
лом,3
крак,3
конвенция,3
осем,3
арестуван,3
такси,3
друго,3
нападната,3
общината,3
постоянен,3
камъни,3
подпалиха,3
трагедия,3
убило,3
обърна,3
нападението,3
около,3
издирвана,3
карнобат,3
ако,3
нея,3
акция,3
извършителят,3
документи,3
опитаха,3
столично,3
глутница,3
блъснаха,3
убили,3
начин,3
зов,2
пол,2
обявиха,2
права,2
пометеното,2
шанс,2
малтретирано,2
нахапало,2
себе,2
оцеляло,2
бурното,2
трети,2
нуждае,2
удавиха,2
неделя,2
почетоха,2
застреля,2
драма,2
внук,2
работата,2
свърши,2
минало,2
трафиканти,2
потопа,2
девет,2
габровско,2
взел,2
жилището,2
обирджия,2
отвлече,2
ток,2
катафалка,2
приети,2
верижна,2
тото,2
освободиха,2
близнаците,2
нахлу,2
