,0
обвиняемия,22
подала,21
места,21
инцидент,21
цялото,21
отношение,21
стане,21
христина,21
страх,21
заявиха,21
чужбина,21
полицаите,21
условията,21
районната,21
даде,21
зад,21
края,21
своя,21
кмет,21
добро,21
някой,21
дела,21
физическо,21
съобщават,21
именно,21
ръководството,21
заседание,21
законът,21
документи,21
май,21
сигнала,20
такава,20
открит,20
жестоко,20
спига,20
декември,20
цялата,20
случаят,20
георгиева,20
домашен,20
вижда,20
допълни,20
версия,20
роднини,20
нови,20
зала,20
реши,20
април,20
изключително,20
такова,20
някои,20
областната,20
операция,20
кажа,20
телесна,20
вечер,20
гергана,20
петър,19
задържана,19
тежката,19
отговорност,19
живеел,19
възможно,19
окончателно,19
процес,19
криминални,19
съдебна,19
разследва,19
признат,19
бившият,19
имал,19
цел,19
друга,19
искам,19
пистолет,19
момче,19
наркотици,19
психолози,19
германия,19
повреда,19
намира,19
показват,19
зам,19
пълни,19
пламен,19
общо,19
колко,19
момиченцето,19
виктория,19
постановление,19
психолог,19
започна,19
затвора,19
пребита,19
убил,19
хиляди,18
установи,18
етаж,18
отношения,18
трупа,18
ивайло,18
етап,18
убитото,18
български,18
дава,18
младата,18
районен,18
твърдят,18
засега,18
радостина,18
нямат,18
пресцентъра,18
кметът,18
превенция,18
промените,18
съпруг,18
центрове,18
група,18
нападението,18
причините,18
приятелката,18
извършена,18
училището,18
осъждан,18
вкс,18
незабавно,18
очите,18
дойде,18
роднините,18
агресия,18
мъчителен,18
близост,18
георгиев,18
правосъдието,18
възможност,18
причини,18
бърза,18
получат,18
изнасилване,18
синът,18
граждани,18
грабеж,17
столицата,17
издирването,17
другите,17
възраст,17
апартамент,17
власти,17
деня,17
комисар,17
намери,17
адреса,17
заподозрян,17
извън,17
октомври,17
назначени,17
подобни,17
деянието,17
статистика,17
николай,17
органите,17
четири,17
помогне,17
жестокост,17
първата,17
директорът,17
десислава,17
бившия,17
кризисен,17
никакви,17
жалба,17
оказва,17
сградата,17
категорични,17
наказанието,17
режим,17
добра,17
половина,17
досега,17
такъв,17
годината,17
реда,17
нейната,17
включване,17
диана,17
вероника,17
гледайте,17
разбира,17
обществото,17
понеделник,17
спешния,16
бившата,16
агенцията,16
прякото,16
продължение,16
отделението,16
права,16
смята,16
пътя,16
личния,16
подпомагане,16
линейка,16
резултатите,16
https,16
младеж,16
аутопсия,16
заместник,16
данните,16
какви,16
столичната,16
магистратите,16
никога,16
същото,16
колегите,16
сектор,16
тепърва,16
всъщност,16
настаняване,16
нападателят,16
прие,16
винаги,16
часове,16
започнали,16
общината,16
своите,16
показва,16
линия,16
състав,16
делчев,16
внимание,16
насилниците,16
утре,16
наказателна,16
гоце,16
постоянен,16
последно,16
мрежи,16
иванов,16
можем,16
изяснява,16
едната,16
история,15
стрелбата,15
настъпила,15
насилника,15
пазарджик,15
имам,15
област,15
медицинската,15
съседите,15
гледа,15
линейката,15
деяние,15
удар,15
семеен,15
действията,15
covid,15
особена,15
александров,15
клиника,15
лекари,15
илиян,15
трима,15
защитата,15
шок,15
риск,15
люлин,15
продължи,15
извършва,15
имаме,15
целия,15
нужда,15
поне,15
задържането,15
думи,15
софийският,15
отиде,15
медицински,15
прието,15
почти,15
дело,15
момчето,15
обявена,15
ваня,15
отказа,15
историята,15
тежка,15
искането,15
липсата,15
горна,15
потвърди,15
ситуацията,15
подлежи,15
умбал,15
агенция,15
мотивите,15
другата,14
стефан,14
изследвания,14
блока,14
подават,14
пострадалото,14
смятат,14
настанени,14
пловдивското,14
трафик,14
промяна,14
братя,14
присъди,14
бременна,14
успяла,14
скоро,14
получава,14
споделя,14
събота,14
партньор,14
вещества,14
системно,14
убити,14
николов,14
нейният,14
ученичка,14
петък,14
ограничителна,14
неправителствени,14
консултации,14
трябвало,14
среща,14
започне,14
излезе,14
университетската,14
разказват,14
шествие,14
стига,14
многократно,14
оръжието,14
установили,14
стая,14
обвинението,14
брифинг,14
варненския,14
софийска,14
убиец,14
киселина,14
разград,14
викторио,14
семейства,14
борба,14
издирва,14
простреляна,13
неговата,13
милена,13
местопроизшествието,13
тече,13
сочат,13
съдействие,13
пък,13
парите,13
приключи,13
потърсили,13
извършеното,13
улица,13
травми,13
намерен,13
наложи,13
настанен,13
личен,13
агресията,13
арестуван,13
включително,13
гимназия,13
социално,13
ръка,13
русенското,13
катастрофа,13
силно,13
каква,13
ситуация,13
стоян,13
делата,13
свидетел,13
обвинена,13
задържа,13
своята,13
името,13
понякога,13
нейния,13
екипът,13
обжалване,13
вследствие,13
проблемите,13
психиатрична,13
джендър,13
постанови,13
